"Addon Id","Name","Invoice Name","Type","Pricing Model","Charge Type","Price","Period","Period Unit","Unit","Status","Archived At","Description","Currency","SKU","Accounting Code","Accounting Category1","Accounting Category2","Accounting Category3","Accounting Category4","Taxable","Price in Decimal"
"white-label","White Label","","On Off","Flat Fee","Recurring","250.00","1","Month","","Active","","","EUR","","","","","","","true",""
"yearly_17945_1_300","Up to 1 website and 300 keywords for 1 year","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"some-addon","Some addon","","On Off","Flat Fee","Recurring","9.99","1","Month","","Active","","","EUR","","","","","","","true",""
"yearly_18090_1_300","Max 1 website & 300 keywords / 1yr - 18090","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_18108_1_500","Max 1 website & 500 keywords / 1yr - 18108","","On Off","Flat Fee","Recurring","640.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_18108_1_300","Max 1 website & 300 keywords / 1yr - 18108","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_18115_1_300","Max 1 website & 300 keywords / 1yr - 18115","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_11217_1_8000","Max 1 website & 8000 keywords / 1yr - 11217","","On Off","Flat Fee","Recurring","2820.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_13545_5_10000","Max 5 websites & 10000 keywords / 1yr - 13545","","On Off","Flat Fee","Recurring","3330.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_13545_71_10000","Max 71 websites & 10000 keywords / 1yr - 13545","","On Off","Flat Fee","Recurring","3330.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_2790_20_15000","Max 20 websites & 15000 keywords / 1yr - 2790","","On Off","Flat Fee","Recurring","5900.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_18448_1_300","Max 1 website & 300 keywords / 1yr - 18448","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_18448_2_2100","Max 2 websites & 2100 keywords / 1yr - 18448","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_18448_2_2000","Max 2 websites & 2000 keywords / 1yr - 18448","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_12109_1_300","Max 1 website & 300 keywords / 1yr - 12109","","On Off","Flat Fee","Recurring","220.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_10460_1_300","Max 1 website & 300 keywords / 1yr - 10460","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
