"Coupon Id","Name","Invoice Name","Discount Type","Discount Percentage","Discount Amount","Discount Quantity","Duration Type","Duration Month","Period","Period Unit","Max Redemptions","Valid From","Valid Till","Redemptions","Status","Archived At","Created At","Currency","Apply On","Plan Constraint","Addon Constraint"
"0xPcfT","estudio34","","Percentage","20.0","","","Forever","","","","","","","0","Active","","19-Jan-2017 17:32","","Invoice amount","Not Applicable","Not Applicable"
"100%SYKESAIS","100%SykesAIS","","Percentage","100.0","","","One Time","","","","1","","05-Dec-2025 00:00","1","Expired","","04-Dec-2025 12:48","","Each specified item","None","Specific"
"100%SYKESAIS23980","100%SykesAIS23980","","Percentage","100.0","","","One Time","","","","1","","19-Dec-2025 00:00","1","Expired","","18-Dec-2025 09:00","","Each specified item","None","Specific"
"15%FREEUID79739","15%freeUID 79739","","Fixed Amount","","178.60","","Limited Period","12","12","Month","1","","02-Nov-2024 00:00","1","Expired","","01-Nov-2024 10:27","GBP","Each specified item","Specific","None"
"150FREE","150Free","","Fixed Amount","","150.00","","One Time","","","","1","","19-Mar-2024 00:00","1","Expired","","18-Mar-2024 12:15","EUR","Invoice amount","Not Applicable","Not Applicable"
"17%FOR5MONTHS","17%for 5 months","","Percentage","17.0","","","Limited Period","5","5","Month","1","","14-Nov-2024 00:00","1","Expired","","13-Nov-2024 12:14","","Invoice amount","Not Applicable","Not Applicable"
"17%PREPAIDDISCOUNT30171","17% prepaid discount 30171","","Percentage","17.0","","","One Time","","","","1","","16-Dec-2021 15:52","1","Expired","","15-Dec-2021 15:52","","Invoice amount","Not Applicable","Not Applicable"
"1MONTH78567","1month 78567","","Percentage","100.0","","","One Time","","","","1","","06-Jul-2024 00:00","1","Expired","","05-Jul-2024 13:05","","Invoice amount","Not Applicable","Not Applicable"
"20%DISCOUNT","20% Discount","","Percentage","20.0","","","One Time","","","","","","","2","Active","","14-Jun-2016 10:23","EUR","Invoice amount","Not Applicable","Not Applicable"
"20%DISCOUNT-estudio34","20% Discount - estudio34","","Percentage","20.0","","","Forever","","","","","","","1","Active","","14-Dec-2017 10:13","","Invoice amount","Not Applicable","Not Applicable"
"24EURDISCOUNT53822","24 EUR Discount 53822","","Fixed Amount","","24.00","","One Time","","","","1","","18-Dec-2021 09:55","1","Expired","","17-Dec-2021 09:55","EUR","Invoice amount","Not Applicable","Not Applicable"
"2KLIK3MO","2klik3mo","","Fixed Amount","","49.00","","Limited Period","3","3","Month","1","","12-Aug-2021 07:39","1","Active","","11-Aug-2021 07:39","EUR","Invoice amount","Not Applicable","Not Applicable"
"2MOCONVERTIMO","2MOConvertimo","","Fixed Amount","","346.00","","Limited Period","2","2","Month","1","","24-Jul-2021 09:17","1","Active","","23-Jul-2021 09:17","RON","Invoice amount","Not Applicable","Not Applicable"
"2MONTHOFFARABAM","2monthoffArabam","","Fixed Amount","","223.00","","Limited Period","2","2","Month","1","","05-Aug-2021 14:37","1","Active","","05-Jul-2021 14:38","EUR","Invoice amount","Not Applicable","Not Applicable"
"2MONTHSDISCOUNT34123","2 Months Discount 34123","","Fixed Amount","","49.00","","Limited Period","2","2","Month","1","","16-Mar-2022 12:12","1","Expired","","15-Mar-2022 12:13","EUR","Invoice amount","Not Applicable","Not Applicable"
"2MONTHSDISCOUNTASPERADVANCEDANNUALPAYMENT","2 months discount as per Advanced Annual Payment","","Fixed Amount","","49.00","","Limited Period","2","2","Month","1","","27-Nov-2021 14:59","1","Expired","","26-Nov-2021 15:02","EUR","Invoice amount","Not Applicable","Not Applicable"
"2MONTHSFREE-61977","2 months FREE - 61977","","Fixed Amount","","708.00","","Limited Period","2","2","Month","1","","16-Jul-2022 11:36","1","Expired","","15-Jul-2022 11:36","EUR","Invoice amount","Not Applicable","Not Applicable"
"2MONTHSFREE61939","2 months free 65677","","Fixed Amount","","49.00","","Limited Period","2","2","Month","1","","01-Apr-2022 11:15","1","Expired","","30-Mar-2022 11:16","EUR","Invoice amount","Not Applicable","Not Applicable"
"2MONTHSOFFTRAINLINE","2monthsoffTrainline","","Fixed Amount","","1290.00","","Limited Period","2","","","1","","12-Apr-2021 09:20","1","Active","","12-Feb-2021 09:20","EUR","Invoice amount","Not Applicable","Not Applicable"
"300EXTRACREDITS","300 EXTRACREDITS","","Fixed Amount","","7320.00","","One Time","","","","1","","18-Mar-2025 00:00","1","Expired","","11-Mar-2025 09:25","RON","Invoice amount","Not Applicable","Not Applicable"
"300EXTRACREDITSCW","300 EXTRACREDITS CW","","Fixed Amount","","2867.40","","One Time","","","","1","","18-Mar-2025 00:00","1","Expired","","12-Mar-2025 12:29","RON","Invoice amount","Not Applicable","Not Applicable"
"300EXTRACREDITSCW15026","300 EXTRACREDITS CW15026","","Fixed Amount","","2927.00","","Forever","","","","1","","17-Apr-2025 00:00","1","Expired","","16-Apr-2025 08:05","RON","Invoice amount","Not Applicable","Not Applicable"
"4EARLYADOPTERS30","Early adopters 30%","","Percentage","30.0","","","Forever","","","","","","","0","Active","","19-Jan-2017 17:31","","Invoice amount","Not Applicable","Not Applicable"
"50-OFF","50-FOREVER","","Fixed Amount","","50.00","","Forever","","","","2","","12-Aug-2023 00:00","2","Expired","","09-Aug-2023 15:12","EUR","Invoice amount","Not Applicable","Not Applicable"
"50-OFF-zuhaus","50-FOREVER Zuhaus","","Fixed Amount","","248.00","","Forever","","","","1","","11-Dec-2023 16:00","1","Expired","","05-Dec-2023 12:48","RON","Invoice amount","Not Applicable","Not Applicable"
"50%DISCOUNT83187","50% discount83187","","Percentage","50.0","","","One Time","","","","1","","27-May-2025 00:00","1","Expired","","26-May-2025 08:33","","Invoice amount","Not Applicable","Not Applicable"
"50%OFF1STMONTHTRAZADA","50% off 1stmonth Trazada","50% off 1stmonth Trazada","Percentage","50.0","","","One Time","","","","1","","31-Mar-2017 10:12","1","Active","","13-Mar-2017 10:12","","Invoice amount","Not Applicable","Not Applicable"
"50FOREVER","50FOREVER","","Fixed Amount","","50.00","","Forever","","","","","","07-Aug-2023 00:00","2","Expired","","25-Jul-2023 07:12","EUR","Invoice amount","Not Applicable","Not Applicable"
"50FREE28575","50FREE 28575","","Fixed Amount","","50.00","","One Time","","","","1","","18-Dec-2024 00:00","1","Expired","","17-Dec-2024 14:53","GBP","Invoice amount","Not Applicable","Not Applicable"
"50OFFTEST","50OFFTEST","","Percentage","50.0","","","Limited Period","6","6","Month","200","","31-May-2023 00:00","0","Expired","","02-May-2023 10:35","","Invoice amount","Not Applicable","Not Applicable"
"70%OFF80943","70%OFF80943","","Percentage","70.0","","","Forever","","","","1","","30-Nov-2024 00:00","1","Expired","","29-Nov-2024 15:22","","Invoice amount","Not Applicable","Not Applicable"
"70OFF76235","70 off 76235","","Fixed Amount","","70.00","","One Time","","","","1","","18-Mar-2024 00:00","1","Expired","","15-Mar-2024 13:12","EUR","Invoice amount","Not Applicable","Not Applicable"
"80UID28411","80UID 28411","","Fixed Amount","","80.00","","One Time","","","","1","","13-Sep-2024 00:00","1","Expired","","12-Sep-2024 11:54","EUR","Invoice amount","Not Applicable","Not Applicable"
"A_8fhs7","A_8fhs7","","Percentage","50.0","","","Limited Period","2","","","","","","0","Active","","19-Jan-2017 17:31","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_10459_1615823182","Advance payment annual discount 10459_1615823182","","Percentage","17.0","","","Forever","","","","1","","","1","Active","","15-Mar-2021 15:46","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_11566_1630048253","Advance payment annual discount 11566_1630048253","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","17-Jan-2025 13:13","27-Aug-2021 07:10","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_11566_1739952612","Advance payment annual discount 11566_1739952612","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","28-Jan-2026 03:13","19-Feb-2025 08:10","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_11566_1772624217","Advance payment annual discount 11566_1772624217","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","04-Mar-2026 11:36","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_12891_1619599057","Advance payment annual discount 12891_1619599057","","Percentage","17.0","","","Forever","","","","1","","","1","Active","","28-Apr-2021 08:37","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_14149_1629472776","Advance payment annual discount 14149 1629472776","","Percentage","17.0","","","Forever","","","","1","","","1","Active","","20-Aug-2021 15:20","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_14398_1670243761","Advance payment annual discount 14398_1670243761","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","29-Aug-2025 13:05","05-Dec-2022 12:36","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_14398_1756818768","Advance payment annual discount 14398_1756818768","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","02-Sep-2025 13:12","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_14480_1635327909","Advance payment annual discount 14480_1635327909","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","27-Oct-2021 09:45","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_15779_1661526071","Advance payment annual discount 15779_1661526071","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","26-Aug-2022 15:01","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_16244_1635680137","Advance payment annual discount 16244_1635680137","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","31-Oct-2021 11:35","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_19360_1613487668","Advance payment annual discount 19360_1613487668","","Percentage","17.0","","","Forever","","","","1","","","1","Active","","16-Feb-2021 15:01","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_19743_1627990482","Advance payment annual discount 19743_1627990482","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","09-Jun-2025 03:00","03-Aug-2021 11:34","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_19743_1750682702","Advance payment annual discount 19743_1750682702","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","23-Jun-2025 12:45","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_20449_1646998378","Advance payment annual discount 20449_1646998378","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","11-Mar-2022 11:32","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_21338_1643195370","Advance payment annual discount 21338_1643195370","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","21-Feb-2025 02:52","26-Jan-2022 11:09","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_21338_1749826511","Advance payment annual discount 21338_1749826511","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","24-Jan-2026 03:12","13-Jun-2025 14:55","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_21338_1769439816","Advance payment annual discount 21338_1769439816","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","26-Jan-2026 15:03","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_22661_1636475664","Advance payment annual discount 22661_1636475664","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","10-Jan-2025 02:50","09-Nov-2021 16:34","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_22661_1737965008","Advance payment annual discount 22661_1737965008","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","08-Nov-2025 03:08","27-Jan-2025 08:03","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_22661_1763987216","Advance payment annual discount 22661_1763987216","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","24-Nov-2025 12:26","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_23430_1637068281","Advance payment annual discount 23430_1637068281","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","16-Nov-2021 13:11","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_23672_1614251561","Advance payment annual discount 23672_1614251561","","Percentage","17.0","","","Forever","","","","1","","","0","Active","","25-Feb-2021 11:12","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_23672_1655202138","Advance payment annual discount 23672_1655202138","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","28-Jul-2025 03:03","14-Jun-2022 10:22","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_23672_1756284656","Advance payment annual discount 23672_1756284656","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","27-Aug-2025 08:50","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_23770_1640777758","Advance payment annual discount 23770_1640777758","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","29-Dec-2021 11:35","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_23865_1652703125","Advance payment annual discount 23865_1652703125","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","16-May-2022 12:12","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_23952_1613463361","Advance payment annual discount 23952_1613463361","","Percentage","17.0","","","Forever","","","","1","","","1","Active","","16-Feb-2021 08:16","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_24026_1617177400","Advance payment annual discount 24026_1617177400","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","08-Mar-2025 11:16","31-Mar-2021 07:56","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_24026_1742374515","Advance payment annual discount 24026_1742374515","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","19-Mar-2025 08:55","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_24098_1670512689","Advance payment annual discount 24098_1670512689","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","13-Dec-2024 18:04","08-Dec-2022 15:18","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_24098_1734113162","Advance payment annual discount 24098_1734113162","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","13-Dec-2024 18:06","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_24279_1645197062","Advance payment annual discount 24279_1645197062","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","18-Feb-2022 15:11","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_24476_1636104071","Advance payment annual discount 24476_1636104071","","Percentage","17.0","","","Forever","","","","1","","05-Nov-2021 13:21","1","Expired","","05-Nov-2021 09:21","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_24476_1644313422","Advance payment annual discount 24476_1644313422","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","08-Feb-2022 09:43","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_24476_1675434399","Advance payment annual discount 24476_1675434399","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","04-Mar-2025 02:53","03-Feb-2023 14:26","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_24476_1741783948","Advance payment annual discount 24476_1741783948","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","12-Mar-2025 12:52","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_25460_1683534452","Advance payment annual discount 25460_1683534452","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","27-Mar-2024 16:39","08-May-2023 08:27","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_25460_1712926447","Advance payment annual discount 25460_1712926447","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","12-May-2025 02:57","12-Apr-2024 12:54","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_25460_1747386922","Advance payment annual discount 25460_1747386922","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","16-May-2025 09:15","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_25690_1637572710","Advance payment annual discount 25690_1637572710","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","17-Jan-2025 16:35","22-Nov-2021 09:18","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_25690_1739541243","Advance payment annual discount 25690_1739541243","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","14-Feb-2025 13:54","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_28340_1625220280","Advance payment annual discount 28340_1625220280","","Percentage","17.0","","","Forever","","","","1","","","1","Active","","02-Jul-2021 10:04","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_28411_1622017869","Advance payment annual discount 28411_1622017869","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","26-May-2021 08:31","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_28411_1726125203","Advance payment annual discount 28411_1726125203","","Percentage","17.0","","","Forever","","","","1","","13-Sep-2024 00:00","1","Archived","31-Oct-2024 12:23","12-Sep-2024 07:13","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_28411_1747387171","Advance payment annual discount 28411_1747387171","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","16-May-2025 09:19","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_29167_1638460702","Advance payment annual discount 29167_1638460702","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","02-Dec-2021 15:58","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_29349_1628243219","Advance payment annual discount 29349_1628243219","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","06-Feb-2025 14:47","06-Aug-2021 09:47","","Invoice amount","Not Applicable","Not Applicable"
