"Line Item Id","Discount Amount","Entity Id","Discount Type"
"li_AzZMhcVDYDGpj3NQf","-159.12","advance_payment_annual_discount_25690_1739541243","Document Level Coupon"
"li_AzZeEaVCQMMKR37TB","-1788.78","BOOHOO_2106.13","Document Level Coupon"
"li_AzZeEaVCQMMKX37TD","-317.35","BOOHOO_2106.13","Document Level Coupon"
"li_AzZeEaVCQMMKR37TB","-489.30","advance_payment_annual_discount_84710_1765211736","Document Level Coupon"
"li_AzZeEaVCQMMKX37TD","-86.81","advance_payment_annual_discount_84710_1765211736","Document Level Coupon"
"li_Azqeb3VBewcch2Ptg","-87.72","advance_payment_annual_discount_52436_1735557471","Document Level Coupon"
"li_Azi5JoV6PCfwWFwSw","-1788.57","BOOHOO_2106.13","Document Level Coupon"
"li_Azi5JoV6PCfwcFwSx","-317.56","BOOHOO_2106.13","Document Level Coupon"
"li_Azi5JoV6PCfwWFwSw","-489.67","advance_payment_annual_discount_84710_1765211736","Document Level Coupon"
"li_Azi5JoV6PCfwcFwSx","-86.95","advance_payment_annual_discount_84710_1765211736","Document Level Coupon"
